OBJECTID;FID_UFS_AMZLEG_LLWGS84;SPRAREA;SPRPERIMET;SPRROTULO;SPRNOME;MSLINK;MAPID;CODIGO;AREA_1;PERIMETRO_;GEOCODIGO;NOME;AREA_TOT_G;objeid_88;Area;FID_pontos_ameacadas_atualizado_portaria_443_2014;codigocncf;id;preccncflo;POINT_X;POINT_Y;familia;nome_cient;autor;categoria
630;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;1788;1293958;82051; ;-47,42056;-6,50653;CONVOLVULACEAE;Ipomoea carajasensis;D.F.Austin;VU
635;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;7698;1086050;114112;50 a 100km;-50,578146;-6,112453;BIGNONIACEAE;Jacaranda carajasensis;A.H.Gentry;CR
638;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;16780;36002;80705;50 a 100km;-50,578146;-6,112453;ASTERACEAE;Monogereion carajensis;R.M.King & G.M.Barroso;CR
642;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;16893;1826811;82052;50 a 100km;-50,578146;-6,112453;CONVOLVULACEAE;Ipomoea cavalcantei;D.F.Austin;EN
645;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;16934;1279963;82413;50 a 100km;-50,578146;-6,112453;ERYTHROXYLACEAE;Erythroxylum nelson-rosae;Plowman;EN
647;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;25364;801828;32360;50 a 100km;-50,578146;-6,112453;POACEAE;Sporobolus apiculatus;Boechat & Longhi-Wagner;EN
672;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;20478;629917;83466;10 a 50km;-50,302602;-5,972483;FABACEAE;Mimosa skinneri var. carajarum;Barneby;CR
680;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;25882;1342466;86752; ;-50,5;-5,9;POACEAE;Axonopus carajasensis;Bastos;EN
682;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;9789;1468384;21013; ;-45,4;-5,9;SAPOTACEAE;Pouteria furcata;T.D.Penn.;EN
687;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;9836;1214873;21024; ;-50,6;-5,77;SAPOTACEAE;Pradosia granulosa;Pires & T.D.Penn.;VU
698;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;27020;82493;867;centroide de municipio;-45,321483;-5,623984;RUTACEAE;Pilocarpus alatus;C.J.Joseph ex Skorupa;VU
707;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;27433;82488;908;centroide de municipio;-45,321483;-5,623984;RUTACEAE;Pilocarpus trachylophus;Holmes;EN
714;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;6027;1073415;113362; ;-44,92;-5,42;BIGNONIACEAE;Fridericia crassa;(Bureau & K.Schum.) L.G.Lohmann;VU
718;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;440;621626;35080;5 a 10km;-49,12;-5,37;CYPERACEAE;Hypolytrum paraense;M.Alves & W.W.Thomas;EN
737;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;11576;1538334;21528;centroide de municipio;-47,432877;-4,837261;VIOLACEAE;Rinorea villosiflora;Hekking;CR
754;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;10067;88737;17928;5 a 10km;-46,202908;-4,45269;LAURACEAE;Dicypellium caryophyllaceum;(Mart.) Nees;CR
755;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;26552;631694;621;5 a 10km;-46,202908;-4,45269;RUTACEAE;Euxylophora paraensis;Huber;CR
774;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;23870;608534;83868; ;-49,783333;-4,05;FABACEAE;Vouacapoua americana;Aubl.;EN
776;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;10204;609858;39496; ;-49;-4,016667;SAPOTACEAE;Pouteria multiflora;(A.DC.) Eyma;VU
844;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;16258;3161300;79770;5 a 10km;-60,266667;-3,383333;VIOLACEAE;Rinorea bicornuta;Hekking;CR
